id_venda,data_venda,produto,categoria,quantidade,preco_unitario,forma_pagamento,loja
716,15/04/2024,Organizador de Gaveta,,3,"30,55",Pix,Matriz - Recife
3231,17/12/2024,Caixa de Som Portátil,Eletrônicos,1,"78,90",Pix,Matriz - Recife
4490,04-05-2025,Biscoito Recheado,Alimentos,2,"60,50",Dinheiro,Matriz - Recife
6058,2025-09-28,Café Torrado 500g,Alimentos,1,"14,41",Cartão de Crédito,Matriz - Recife
1415,2024-06-18,Estojo Simples,Papelaria,3,"189,71",pix,Matriz - Recife
553,2024-03-25,Chinelo de Dedo,Vestuário,1,"122,49",Dinheiro,Matriz - Recife
115,21-01-2024,Power Bank 10000mAh,Eletrônicos,2,"179,80",Dinheiro,Matriz - Recife
2338,2024-09-26,Água de Coco 500ml,Alimentos,1,"65,15",Dinheiro,Matriz - Recife
6717,23/11/2025,café torrado 500g,Alimentos,2,"14,22",Cartão de Débito,Matriz - Recife
2033,2024-08-23,Carregador USB-C,Eletrônicos,3,"14,81",Dinheiro,Matriz - Recife
554,25-03-2024,Carregador USB-C,Eletrônicos,1,"14,71",Cartão de Crédito,Matriz - Recife
4915,05/06/2025,Escova de Limpeza,CASA E UTILIDADES,4,"204,27",,Matriz - Recife
1733,17-07-2024,Kit Panelas Antiaderente,CASA E UTILIDADES,1,"255,62",PIX,Matriz - Recife
3891,05/03/2025,Suco de Caju 1L,Alimentos,1,"163,05",Cartão de Débito,Matriz - Recife
1219,01/06/2024,Caixa de Som Portátil,Eletrônicos,2,"76,92",pix,Matriz - Recife
2633,28-10-2024,chinelo de dedo,Vestuário,2,"130,11",pix,Matriz - Recife
6308,24-10-2025,Vela Aromática,Casa e Utilidades,1,"30,20",Dinheiro,Matriz - Recife
3144,10/12/2024,Carregador USB-C,ELETRÔNICOS,1,"13,13",PIX,Matriz - Recife
917,05/05/2024,Boné Aba Reta,Vestuário,-3,"103,13",Cartão de Débito,Matriz - Recife
6496,07-11-2025,Mochila Escolar,Papelaria,2,"203,43",Cartão de Débito,Matriz - Recife
6414,03/11/2025,Estojo Simples,Papelaria,3,"182,32",PIX,Matriz - Recife
579,2024-03-28,Amendoim Torrado,Alimentos,1,"155,10",Cartão de Crédito,Matriz - Recife
1544,28-06-2024,fone de ouvido bluetooth,Eletrônicos,2,"170,80",PIX,Matriz - Recife
6588,14/11/2025,Água de Coco 500ml,Alimentos,2,"59,22",Dinheiro,Matriz - Recife
3811,23-02-2025,Barra de Cereal,Alimentos,3,"134,04",Pix,Matriz - Recife
3060,2024-12-03,Biscoito Recheado,Alimentos,2,"52,09",Cartão de Crédito,Matriz - Recife
4746,2025-05-25,Biscoito Recheado,Alimentos,1,"59,20",Dinheiro,Matriz - Recife
4659,17/05/2025,Meia Esportiva,Vestuário,1,"14,75",pix,Matriz - Recife
5943,14/09/2025,Porta Sabonete,Casa e Utilidades,3,"164,69",Pix,Matriz - Recife
2289,22-09-2024,Mochila Escolar,Papelaria,2,"208,99",pix,Matriz - Recife
2320,25/09/2024,Caneta Esferográfica,PAPELARIA,3,"9,65",PIX,Matriz - Recife
5551,2025-08-03,Biscoito Recheado,Alimentos,2,"56,93",pix,Matriz - Recife
4369,24/04/2025,Chinelo de Dedo,Vestuário,3,"138,15",Pix,Matriz - Recife
4640,16/05/2025,Café Torrado 500g,Alimentos,2,"14,20",PIX,Matriz - Recife
696,11/04/2024,Caixa de Som Portátil,ELETRÔNICOS,2,"73,98",PIX,Matriz - Recife
1802,2024-07-26,Café Torrado 500g,Alimentos,1,"13,49",Cartão de Crédito,Matriz - Recife
4401,2025-04-28,Caneta Esferográfica,Papelaria,1,"9,98",Cartão de Crédito,Matriz - Recife
953,2024-05-09,Café Torrado 500g,Alimentos,3,"13,78",pix,Matriz - Recife
398,2024-03-08,Barra de Cereal,Alimentos,1,"130,22",pix,Matriz - Recife
5557,04-08-2025,porta sabonete,Casa e Utilidades,2,"149,47",Cartão de Débito,Matriz - Recife
2310,24/09/2024,Chinelo de Dedo,Vestuário,2,"136,90",Pix,Matriz - Recife
1114,2024-05-22,Jogo de Toalhas,Casa e Utilidades,-2,"90,52",Cartão de Débito,Matriz - Recife
4732,24-05-2025,Barra de Cereal,Alimentos,2,"130,78",Dinheiro,Matriz - Recife
4117,27/03/2025,organizador de gaveta,Casa e Utilidades,1,"29,71",PIX,Matriz - Recife
1324,09/06/2024,caderno universitário,Papelaria,5,"208,55",Dinheiro,Matriz - Recife
4166,2025-04-01,Jaqueta Corta-Vento,Vestuário,5,"57,12",Dinheiro,Matriz - Recife
3269,20/12/2024,Carregador USB-C,Eletrônicos,5,"14,64",Pix,Matriz - Recife
3191,14-12-2024,Carregador USB-C,ELETRÔNICOS,1,"14,46",Dinheiro,Matriz - Recife
4906,04-06-2025,Bermuda Jeans,Vestuário,2,"31,14",Dinheiro,Matriz - Recife
83,2024-01-14,Água de Coco 500ml,Alimentos,2,"59,12",PIX,Matriz - Recife
1356,12/06/2024,Barra de Cereal,Alimentos,1,"150,19",,Matriz - Recife
3142,10/12/2024,Jaqueta Corta-Vento,Vestuário,1,"58,34",PIX,Matriz - Recife
4132,2025-03-29,Carregador USB-C,Eletrônicos,2,"13,86",Cartão de Débito,Matriz - Recife
3419,30/12/2024,Marcador de Texto,Papelaria,1,"91,71",Cartão de Débito,Matriz - Recife
5961,15-09-2025,Organizador de Gaveta,Casa e Utilidades,1,"32,55",PIX,Matriz - Recife
4634,2025-05-15,Cabo HDMI,Eletrônicos,3,"66,51",PIX,Matriz - Recife
6519,09-11-2025,Mochila Escolar,Papelaria,2,"218,04",Cartão de Crédito,Matriz - Recife
1595,01-07-2024,Barra de Cereal,Alimentos,3,"137,43",pix,Matriz - Recife
984,11/05/2024,Jogo de Toalhas,Casa e Utilidades,5,"95,84",Cartão de Crédito,Matriz - Recife
4111,27/03/2025,Caixa de Som Portátil,ELETRÔNICOS,1,"72,50",PIX,Matriz - Recife
905,04-05-2024,Porta Sabonete,Casa e Utilidades,1,"159,24",pix,Matriz - Recife
1536,27/06/2024,Porta Sabonete,Casa e Utilidades,2,"164,95",pix,Matriz - Recife
3494,09/01/2025,Jaqueta Corta-Vento,Vestuário,1,"60,37",Dinheiro,Matriz - Recife
2771,11/11/2024,Mochila Escolar,Papelaria,1,"201,75",Pix,Matriz - Recife
7221,27-12-2025,Estojo Simples,Papelaria,1,"188,71",PIX,Matriz - Recife
5334,14/07/2025,Água de Coco 500ml,Alimentos,2,"58,97",Pix,Matriz - Recife
2643,30-10-2024,Barra de Cereal,ALIMENTOS,1,"141,08",PIX,Matriz - Recife
4346,21-04-2025,Cabo HDMI,Eletrônicos,3,"59,44",Cartão de Crédito,Matriz - Recife
95,17-01-2024,Marcador de Texto,Papelaria,2,"89,67",pix,Matriz - Recife
3751,2025-02-14,Biscoito Recheado,Alimentos,1,"55,52",Cartão de Débito,Matriz - Recife
958,2024-05-09,Marcador de Texto,Papelaria,1,"90,06",Pix,Matriz - Recife
6383,01-11-2025,Barra de Cereal,Alimentos,1,"142,92",Cartão de Débito,Matriz - Recife
6008,21-09-2025,Cabo HDMI,Eletrônicos,3,"66,23",PIX,Matriz - Recife
2247,17-09-2024,Cabo HDMI,Eletrônicos,5,"60,51",Cartão de Débito,Matriz - Recife
3840,28-02-2025,Escova de Limpeza,Casa e Utilidades,2,"223,78",PIX,Matriz - Recife
6211,2025-10-14,Chinelo de Dedo,Vestuário,1,"122,89",Pix,Matriz - Recife
6516,08-11-2025,Boné Aba Reta,Vestuário,4,"113,16",Cartão de Débito,Matriz - Recife
724,16/04/2024,Cabo HDMI,Eletrônicos,4,"58,67",PIX,Matriz - Recife
2548,2024-10-18,Escova de Limpeza,Casa e Utilidades,2,"226,13",pix,Matriz - Recife
1315,09/06/2024,Meia Esportiva,,1,"14,69",pix,Matriz - Recife
4684,19/05/2025,bermuda jeans,Vestuário,4,"31,05",PIX,Matriz - Recife
6843,30-11-2025,Cola Bastão,Papelaria,3,"49,09",Cartão de Crédito,Matriz - Recife
2559,20-10-2024,Meia Esportiva,Vestuário,1,"15,68",pix,Matriz - Recife
117,21/01/2024,Kit Panelas Antiaderente,CASA E UTILIDADES,2,"236,71",Pix,Matriz - Recife
2702,2024-11-04,Biscoito Recheado,Alimentos,2,"53,88",Cartão de Débito,Matriz - Recife
2303,2024-09-23,Carregador USB-C,ELETRÔNICOS,1,"13,52",PIX,Matriz - Recife
5213,29-06-2025,Power Bank 10000mAh,Eletrônicos,1,"196,73",Cartão de Crédito,Matriz - Recife
1040,2024-05-16,Mochila Escolar,,2,"187,68",pix,Matriz - Recife
1873,03/08/2024,Caneta Esferográfica,Papelaria,1,"9,45",Cartão de Débito,Matriz - Recife
6861,02-12-2025,Suco de Caju 1L,Alimentos,3,"162,97",PIX,Matriz - Recife
5086,2025-06-20,Bermuda Jeans,Vestuário,1,"28,97",Cartão de Crédito,Matriz - Recife
6592,14/11/2025,Caderno Universitário,Papelaria,4,"210,64",Cartão de Débito,Matriz - Recife
284,17/02/2024,Suco de Caju 1L,Alimentos,1,"173,66",Cartão de Débito,Matriz - Recife
936,07/05/2024,Cola Bastão,Papelaria,-1,"48,86",pix,Matriz - Recife
5315,12-07-2025,Caixa de Som Portátil,Eletrônicos,1,"71,95",Cartão de Débito,Matriz - Recife
2639,29-10-2024,Barra de Cereal,ALIMENTOS,1,"140,17",PIX,Matriz - Recife
3361,2024-12-27,Fone de Ouvido Bluetooth,Eletrônicos,2,"164,66",pix,Matriz - Recife
6306,24-10-2025,Marcador de Texto,Papelaria,-2,"96,62",pix,Matriz - Recife
1724,16/07/2024,cola bastão,Papelaria,1,"43,17",Pix,Matriz - Recife
2122,2024-09-02,Jaqueta Corta-Vento,Vestuário,1,"56,25",Cartão de Débito,Matriz - Recife
1875,04/08/2024,Mouse Sem Fio,Eletrônicos,1,"162,93",Dinheiro,Matriz - Recife
3198,2024-12-14,Porta Sabonete,Casa e Utilidades,3,"163,70",Cartão de Débito,Matriz - Recife
6502,08-11-2025,Jogo de Toalhas,CASA E UTILIDADES,3,"87,07",Dinheiro,Matriz - Recife
252,2024-02-12,Suco de Caju 1L,ALIMENTOS,2,"158,23",Pix,Matriz - Recife
449,2024-03-13,Amendoim Torrado,,1,"160,20",Pix,matriz-recife
184,01-02-2024,Fone de Ouvido Bluetooth,Eletrônicos,1,"169,55",Cartão de Crédito,Matriz - Recife
6208,14/10/2025,Jogo de Toalhas,Casa e Utilidades,3,"92,35",Dinheiro,Matriz - Recife
5629,12-08-2025,Biscoito Recheado,ALIMENTOS,2,"56,38",Dinheiro,Matriz - Recife
4598,13/05/2025,Camiseta Básica,Vestuário,1,"215,38",Dinheiro,Matriz - Recife
116,21/01/2024,Suco de Caju 1L,ALIMENTOS,5,"170,52",PIX,Matriz - Recife
6633,18/11/2025,Cola Bastão,Papelaria,4,"46,52",PIX,Matriz - Recife
5703,19/08/2025,Jaqueta Corta-Vento,Vestuário,1,"62,80",Cartão de Crédito,Matriz - Recife
667,2024-04-08,Caneta Esferográfica,Papelaria,1,"10,15",Cartão de Débito,Matriz - Recife
7227,27-12-2025,Mouse Sem Fio,ELETRÔNICOS,3,"177,63",pix,Matriz - Recife
2517,15-10-2024,Carregador USB-C,Eletrônicos,4,"14,22",Cartão de Débito,Matriz - Recife
6435,04/11/2025,Kit Panelas Antiaderente,Casa e Utilidades,-1,"256,84",Dinheiro,Matriz - Recife
827,26/04/2024,boné aba reta,Vestuário,1,"106,24",Pix,Matriz - Recife
5263,2025-07-04,Carregador USB-C,Eletrônicos,1,"13,17",pix,Matriz - Recife
3226,17-12-2024,biscoito recheado,Alimentos,3,"57,51",Dinheiro,Matriz - Recife
6118,04/10/2025,Escova de Limpeza,Casa e Utilidades,3,"223,53",PIX,Matriz - Recife
6103,03-10-2025,Estojo Simples,Papelaria,2,"169,48",Dinheiro,Matriz - Recife
5919,2025-09-11,Carregador USB-C,,1,"13,16",Dinheiro,Matriz - Recife
2154,05-09-2024,Meia Esportiva,Vestuário,3,"15,13",Cartão de Débito,Matriz - Recife
7119,20/12/2025,suco de caju 1l,Alimentos,1,"174,20",Cartão de Débito,Matriz - Recife
3790,2025-02-20,Jogo de Toalhas,,2,"85,26",Cartão de Crédito,Matriz - Recife
6316,2025-10-25,Porta Sabonete,Casa e Utilidades,1,"143,84",Cartão de Crédito,Matriz - Recife
4031,18/03/2025,Chinelo de Dedo,,3,"131,49",Pix,Matriz - Recife
3143,10/12/2024,Estojo Simples,Papelaria,3,"186,99",Dinheiro,Matriz - Recife
1004,12-05-2024,Barra de Cereal,ALIMENTOS,1,"139,00",Cartão de Débito,Matriz - Recife
1045,16/05/2024,Cabo HDMI,Eletrônicos,2,"59,52",Cartão de Débito,Matriz - Recife
6153,2025-10-08,Barra de Cereal,Alimentos,4,"148,13",PIX,Matriz - Recife
1159,2024-05-26,Biscoito Recheado,Alimentos,2,"60,45",Cartão de Crédito,Matriz - Recife
821,2024-04-26,Boné Aba Reta,Vestuário,-1,"111,35",Cartão de Crédito,Matriz - Recife
5380,2025-07-19,Barra de Cereal,Alimentos,1,"142,28",Pix,Matriz - Recife
5654,14-08-2025,Kit Panelas Antiaderente,CASA E UTILIDADES,3,"252,23",Dinheiro,Matriz - Recife
1033,2024-05-15,Bermuda Jeans,Vestuário,5,"29,04",Cartão de Débito,Matriz - Recife
3098,2024-12-07,Porta Sabonete,,1,"162,42",pix,Matriz - Recife
3061,03-12-2024,Jaqueta Corta-Vento,Vestuário,1,"57,57",pix,Matriz - Recife
6304,24/10/2025,Organizador de Gaveta,Casa e Utilidades,1,"30,97",PIX,Matriz - Recife
3034,2024-12-01,Barra de Cereal,Alimentos,2,"146,48",Pix,Matriz - Recife
6980,11/12/2025,Cabo HDMI,Eletrônicos,1,"66,74",pix,Matriz - Recife
4656,2025-05-17,Boné Aba Reta,Vestuário,5,"117,42",Pix,Matriz - Recife
2415,04/10/2024,Chinelo de Dedo,Vestuário,1,"136,58",Pix,Matriz - Recife
1002,12/05/2024,Jaqueta Corta-Vento,,1,"60,19",Cartão de Crédito,Matriz - Recife
7135,22/12/2025,Fone de Ouvido Bluetooth,Eletrônicos,2,"151,43",Cartão de Crédito,Matriz - Recife
2923,23-11-2024,Água de Coco 500ml,Alimentos,1,"57,28",pix,Matriz - Recife
7083,17/12/2025,Fone de Ouvido Bluetooth,Eletrônicos,2,"163,91",Pix,Matriz - Recife
4816,2025-05-29,Jaqueta Corta-Vento,Vestuário,1,"56,06",pix,Matriz - Recife
3022,30/11/2024,Meia Esportiva,VESTUÁRIO,5,"16,34",Dinheiro,Matriz - Recife
5447,24-07-2025,Cola Bastão,Papelaria,1,"46,98",pix,Matriz - Recife
4793,2025-05-28,Chinelo de Dedo,Vestuário,1,"129,52",pix,Matriz - Recife
616,01-04-2024,Porta Sabonete,Casa e Utilidades,2,"157,02",Cartão de Crédito,Matriz - Recife
3709,09-02-2025,Jogo de Toalhas,,1,"84,39",Pix,Matriz - Recife
5983,17/09/2025,Cabo HDMI,Eletrônicos,2,"59,78",Dinheiro,Matriz - Recife
329,25/02/2024,Biscoito Recheado,ALIMENTOS,3,"51,92",PIX,Matriz - Recife
102,19-01-2024,amendoim torrado,ALIMENTOS,1,"161,24",PIX,Matriz - Recife
6074,01/10/2025,Escova de Limpeza,Casa e Utilidades,2,"199,80",pix,Matriz - Recife
5709,20/08/2025,Biscoito Recheado,Alimentos,1,"53,56",Pix,Matriz - Recife
2417,2024-10-05,Amendoim Torrado,Alimentos,1,"161,18",,Matriz - Recife
2849,18-11-2024,escova de limpeza,Casa e Utilidades,2,"213,73",Cartão de Crédito,Matriz - Recife
1635,2024-07-06,Jogo de Toalhas,Casa e Utilidades,5,"88,62",Pix,Matriz - Recife
2506,14-10-2024,Escova de Limpeza,Casa e Utilidades,1,"222,08",Dinheiro,Matriz - Recife
5992,2025-09-19,Jaqueta Corta-Vento,Vestuário,1,"65,18",Cartão de Débito,Matriz - Recife
6205,13/10/2025,Fone de Ouvido Bluetooth,Eletrônicos,2,"167,60",Pix,Matriz - Recife
4853,31/05/2025,Chinelo de Dedo,VESTUÁRIO,1,"129,81",Cartão de Débito,Matriz - Recife
6024,24-09-2025,Vela Aromática,CASA E UTILIDADES,1,"29,38",PIX,Matriz - Recife
5210,2025-06-28,Porta Sabonete,Casa e Utilidades,1,"150,16",pix,Matriz - Recife
3907,06/03/2025,Marcador de Texto,,1,"93,05",PIX,Matriz - Recife
1020,13/05/2024,mochila escolar,Papelaria,3,"212,05",Cartão de Crédito,Matriz - Recife
5636,2025-08-13,porta sabonete,CASA E UTILIDADES,3,"145,86",Cartão de Débito,Matriz - Recife
1452,2024-06-21,Caderno Universitário,Papelaria,1,"192,85",Pix,Matriz - Recife
5771,26-08-2025,Caneta Esferográfica,PAPELARIA,1,"9,71",Dinheiro,Matriz - Recife
3946,2025-03-09,Bermuda Jeans,Vestuário,1,"28,63",Cartão de Crédito,Matriz - Recife
2149,05-09-2024,Jogo de Toalhas,CASA E UTILIDADES,1,"87,86",pix,Matriz - Recife
4912,2025-06-05,chinelo de dedo,Vestuário,2,"122,73",Pix,Matriz - Recife
2949,2024-11-25,Organizador de Gaveta,CASA E UTILIDADES,1,"33,20",Dinheiro,Matriz - Recife
6170,10-10-2025,Café Torrado 500g,Alimentos,1,"14,63",Cartão de Débito,Matriz - Recife
4771,2025-05-27,Amendoim Torrado,Alimentos,3,"151,66",PIX,Matriz - Recife
6420,2025-11-03,Suco de Caju 1L,Alimentos,1,"165,03",Cartão de Crédito,Matriz - Recife
4425,30/04/2025,Escova de Limpeza,Casa e Utilidades,1,"198,95",pix,Matriz - Recife
7,2024-01-01,Vela Aromática,Casa e Utilidades,5,"32,20",PIX,Matriz - Recife
923,06/05/2024,Barra de Cereal,ALIMENTOS,3,"142,61",Cartão de Crédito,Matriz - Recife
5312,12/07/2025,Água de Coco 500ml,ALIMENTOS,1,"62,26",Cartão de Débito,Matriz - Recife
3937,2025-03-09,Fone de Ouvido Bluetooth,Eletrônicos,5,"165,68",Cartão de Crédito,Matriz - Recife
3266,20/12/2024,Jaqueta Corta-Vento,VESTUÁRIO,1,"59,59",Pix,Matriz - Recife
5804,2025-08-30,Amendoim Torrado,ALIMENTOS,-1,"138,97",Pix,Matriz - Recife
7193,2025-12-25,Cabo HDMI,,2,"63,54",Cartão de Crédito,Matriz - Recife
6809,2025-11-29,Chinelo de Dedo,Vestuário,1,"134,43",PIX,Matriz - Recife
5394,20-07-2025,Escova de Limpeza,Casa e Utilidades,2,"198,82",Dinheiro,Matriz - Recife
3897,05-03-2025,Vela Aromática,Casa e Utilidades,3,"32,54",Cartão de Crédito,Matriz - Recife
2527,2024-10-16,Fone de Ouvido Bluetooth,Eletrônicos,5,"172,76",PIX,Matriz - Recife
6993,2025-12-12,Cola Bastão,Papelaria,1,"44,83",PIX,Matriz - Recife
1510,2024-06-25,Estojo Simples,Papelaria,4,"174,07",Pix,Matriz - Recife
5012,12/06/2025,Água de Coco 500ml,Alimentos,3,"61,36",,Matriz - Recife
5363,17/07/2025,Vela Aromática,CASA E UTILIDADES,2,"28,59",Pix,Matriz - Recife
2374,30/09/2024,Camiseta Básica,Vestuário,1,"229,56",Pix,Matriz - Recife
3976,13/03/2025,amendoim torrado,Alimentos,5,"140,36",pix,Matriz - Recife
5054,17/06/2025,Cola Bastão,Papelaria,3,"46,28",Cartão de Crédito,Matriz - Recife
3834,27-02-2025,Fone de Ouvido Bluetooth,Eletrônicos,2,"154,01",Pix,Matriz - Recife
1394,16/06/2024,barra de cereal,Alimentos,1,"133,81",PIX,Matriz - Recife
698,11-04-2024,Estojo Simples,Papelaria,1,"165,93",Cartão de Débito,Matriz - Recife
3466,2025-01-05,Suco de Caju 1L,Alimentos,2,"176,97",Dinheiro,Matriz - Recife
3400,2024-12-29,Boné Aba Reta,Vestuário,5,"106,47",PIX,Matriz - Recife
488,17/03/2024,Barra de Cereal,Alimentos,1,"140,01",PIX,Matriz - Recife
3360,27-12-2024,Chinelo de Dedo,Vestuário,2,"132,49",Cartão de Débito,Matriz - Recife
851,29/04/2024,Jogo de Toalhas,Casa e Utilidades,-3,"93,86",PIX,Matriz - Recife
896,03/05/2024,Amendoim Torrado,Alimentos,1,"152,87",pix,Matriz - Recife
1526,2024-06-26,Cabo HDMI,ELETRÔNICOS,3,"61,07",PIX,Matriz - Recife
6674,20-11-2025,Camiseta Básica,Vestuário,-1,"230,15",Cartão de Crédito,Matriz - Recife
3791,20/02/2025,Fone de Ouvido Bluetooth,Eletrônicos,4,"160,23",PIX,Matriz - Recife
6591,14-11-2025,Porta Sabonete,Casa e Utilidades,-1,"148,33",Dinheiro,Matriz - Recife
336,26-02-2024,Fone de Ouvido Bluetooth,Eletrônicos,2,"161,33",Cartão de Crédito,Matriz - Recife
6373,2025-10-31,Barra de Cereal,Alimentos,1,"132,67",Pix,Matriz - Recife
2367,30/09/2024,Boné Aba Reta,Vestuário,5,"115,23",pix,Matriz - Recife
138,25/01/2024,Caderno Universitário,Papelaria,3,"219,13",Cartão de Crédito,Matriz - Recife
5609,10/08/2025,Camiseta Básica,Vestuário,2,"218,21",Pix,Matriz - Recife
6025,24-09-2025,Jaqueta Corta-Vento,Vestuário,1,"60,08",Cartão de Crédito,Matriz - Recife
2958,26/11/2024,Estojo Simples,Papelaria,1,"183,62",Cartão de Débito,Matriz - Recife
4561,09-05-2025,Água de Coco 500ml,Alimentos,2,"64,71",Cartão de Crédito,Matriz - Recife
7262,2025-12-29,Organizador de Gaveta,Casa e Utilidades,1,"33,40",Dinheiro,Matriz - Recife
4789,28/05/2025,Camiseta Básica,Vestuário,1,"218,11",pix,Matriz - Recife
4120,28/03/2025,Água de Coco 500ml,ALIMENTOS,2,"59,12",Dinheiro,Matriz - Recife
3409,30/12/2024,Kit Panelas Antiaderente,Casa e Utilidades,3,"248,45",Cartão de Crédito,Matriz - Recife
5478,2025-07-27,Vela Aromática,Casa e Utilidades,4,"32,08",Cartão de Débito,Matriz - Recife
206,05-02-2024,Mochila Escolar,Papelaria,1,"205,08",PIX,Matriz - Recife
3170,2024-12-12,Estojo Simples,PAPELARIA,2,"172,61",PIX,Matriz - Recife
6397,02-11-2025,Meia Esportiva,VESTUÁRIO,1,"16,38",pix,Matriz - Recife
5303,11-07-2025,Barra de Cereal,Alimentos,1,"139,02",Pix,Matriz - Recife
2740,2024-11-08,Marcador de Texto,Papelaria,5,"88,47",pix,Matriz - Recife
5702,2025-08-19,Kit Panelas Antiaderente,Casa e Utilidades,1,"237,94",pix,Matriz - Recife
2223,14-09-2024,Fone de Ouvido Bluetooth,Eletrônicos,1,"156,06",Cartão de Crédito,Matriz - Recife
3726,2025-02-11,Vela Aromática,CASA E UTILIDADES,1,"28,59",Cartão de Crédito,Matriz - Recife
1766,21/07/2024,Power Bank 10000mAh,Eletrônicos,1,"193,44",Cartão de Débito,Matriz - Recife
339,26-02-2024,Caderno Universitário,Papelaria,-1,"214,60",Cartão de Débito,Matriz - Recife
5905,10-09-2025,Jogo de Toalhas,Casa e Utilidades,2,"84,18",Cartão de Débito,Matriz - Recife
4407,2025-04-28,Caneta Esferográfica,Papelaria,3,"9,36",pix,Matriz - Recife
4931,2025-06-06,Fone de Ouvido Bluetooth,ELETRÔNICOS,4,"167,87",Dinheiro,Matriz - Recife
3965,12-03-2025,caixa de som portátil,Eletrônicos,1,"73,49",Pix,Matriz - Recife
